Channel;Entropy
Fp1;0,000000000000000
Fz;0,024727547657801
F3;0,022880744099549
F7;0,005779856760416
FT9;0,000000000000000
FC5;0,087526110677185
FC1;0,159184115612869
C3;0,541541365115803
T7;0,133355223335283
TP9;0,000000000000000
CP5;0,421915361222277
CP1;1,382629229085500
Pz;0,997537677075455
P3;0,713856319409351
P7;0,271480678335973
O1;0,293500690190546
Oz;0,302478358120318
O2;0,256745966889269
P4;0,636185224115923
P8;0,275921313765230
TP10;0,000000000000000
CP6;0,495556463036033
CP2;1,306037947841962
Cz;0,744069779681289
C4;0,494705645526771
T8;0,000000000000000
FT10;0,000000000000000
FC6;0,085612508341452
FC2;0,152230844170442
F4;0,019920610819487
F8;0,007319359372540
Fp2;0,000000000000000
AF7;0,000151086255550
AF3;0,006293111246384
AFz;0,009006528099133
F1;0,025423916160682
F5;0,015631472893419
FT7;0,058986866753058
FC3;0,106639366971747
FCz;0,132708748346448
C1;0,638285302563343
C5;0,317445142446916
TP7;0,200417170833063
CP3;0,704800172067480
P1;1,095785658196341
P5;0,414675307457847
PO7;0,299476344633746
PO3;0,498627760522970
POz;0,469666505104440
PO4;0,465957504870421
PO8;0,265526159812449
P6;0,407934300360946
P2;1,018360598626783
CP4;0,787823191039425
TP8;0,266867938257978
C6;0,302051637412586
C2;0,743326685712764
FC4;0,126314397253299
FT8;0,069034411855985
F6;0,012335795742674
F2;0,025642480014962
AF4;0,003255499139767
AF8;0,000000000000000
